user_no,product_id,product_name,brand,topcat_name,category_name,price,base_image_url,score_0_100,rank
28,mouse:benq-zowie-fk1-c,BenQ ZOWIE FK1+-C,BenQ,Mouse,Mouse,99000.0,https://img.danawa.com/prod_img/500000/147/423/img/17423147_1.jpg?shrink=330:*&_v=20220708125526,21.985836029052734,17
28,keyboard:msi-forge-gk100-콤보-키보드-마우스-세트,MSI FORGE GK100 콤보 키보드 마우스 세트,MSI,Keyboard,Keyboard,28390.0,https://img.danawa.com/prod_img/500000/590/696/img/69696590_1.jpg?shrink=330:*&_v=20250509090950,21.968055725097656,18
28,mouse:로지텍-g502-x-lightspeed,로지텍 G502 X LIGHTSPEED,로지텍,Mouse,Mouse,79000.0,https://img.danawa.com/prod_img/500000/795/864/img/17864795_1.jpg?shrink=330:*&_v=20240409140819,21.765657424926758,19
28,mouse:madcatz-r-a-t-6-plus,MadCatz R.A.T 6 PLUS,MadCatz,Mouse,Mouse,68990.0,https://img.danawa.com/prod_img/500000/667/592/img/10592667_1.jpg?shrink=330:*&_v=20230901104409,20.80712127685547,20
28,mouse:razer-deathadder-v3-pro-white-edition,Razer DeathAdder V3 Pro White Edition,Razer,Mouse,Mouse,120000.0,https://img.danawa.com/prod_img/500000/209/673/img/17673209_1.jpg?shrink=330:*&_v=20250918160321,20.456653594970703,21
28,mouse:글로리어스-model-d-2-pro-유무선,글로리어스 MODEL D 2 PRO 유무선,글로리어스,Mouse,Mouse,134830.0,https://img.danawa.com/prod_img/500000/899/887/img/28887899_1.jpg?shrink=330:*&_v=20231020134142,20.41684341430664,22
28,keyboard:로프리-flow-lite-oe921-유무선-기계식,로프리 FLOW LITE OE921 유무선 기계식,로프리,Keyboard,Keyboard,78900.0,https://img.danawa.com/prod_img/500000/246/006/img/74006246_1.jpg?shrink=330:*&_v=20250108104621,20.131582260131836,23
28,keyboard:발키리-vk-87-merlin-유무선-기계식,발키리 VK-87 MERLIN 유무선 기계식,발키리,Keyboard,Keyboard,79000.0,https://img.danawa.com/prod_img/500000/406/061/img/72061406_1.jpg?shrink=330:*&_v=20241128101448,20.0944766998291,24
28,keyboard:한성컴퓨터-tfg-cloud-max-cl-유무선-기계식-모카코코아,한성컴퓨터 TFG Cloud Max CL 유무선 기계식 모카코코아,한성컴퓨터,Keyboard,Keyboard,99000.0,https://img.danawa.com/prod_img/500000/091/862/img/93862091_1.jpg?shrink=330:*&_v=20250710131906,20.039976119995117,25
28,mouse:benq-zowie-s1-c-유선-마우스,BenQ ZOWIE S1-C 유선 마우스,BenQ,Mouse,Mouse,99000.0,https://img.danawa.com/prod_img/500000/720/599/img/15599720_1.jpg?shrink=330:*&_v=20211104101630,19.634897232055664,26
28,mouse:madcatz-r-a-t-pro-x3,MadCatz R.A.T PRO X3,MadCatz,Mouse,Mouse,219000.0,https://img.danawa.com/prod_img/500000/968/588/img/10588968_1.jpg?shrink=330:*&_v=20200716163532,19.370586395263672,27
28,keyboard:razer-blackwidow-v4-pro-linear-kr,Razer Blackwidow V4 Pro Linear KR,Razer,Keyboard,Keyboard,349000.0,https://img.danawa.com/prod_img/500000/573/109/img/19109573_1.jpg?shrink=330:*&_v=20240708133841,19.3629093170166,28
28,keyboard:cox-cy104k-v2-카일-광축-v2-게이밍-화이트-핑크,COX CY104K V2 카일 광축 V2 게이밍 화이트&핑크,COX,Keyboard,Keyboard,65000.0,https://img.danawa.com/prod_img/500000/948/887/img/90887948_1.jpg?shrink=330:*&_v=20250529091536,18.458524703979492,29
28,mouse:razer-basilisk-v3-x-hyperspeed-무선-블루투스,Razer Basilisk V3 X Hyperspeed 무선 블루투스,Razer,Mouse,Mouse,119000.0,https://img.danawa.com/prod_img/500000/850/969/img/19969850_1.jpg?shrink=330:*&_v=20250918160426,18.34026527404785,30
